place,movie_title,rating,year,star_cast
58,WALL·E,8.392617562683276,2008,"Andrew Stanton (dir.), Ben Burtt, Elissa Knight"
59,La vida de los otros,8.386334295253578,2006,"Florian Henckel von Donnersmarck (dir.), Ulrich Mühe, Martina Gedeck"
60,El ocaso de una vida,8.382501312091351,1950,"Billy Wilder (dir.), William Holden, Gloria Swanson"
61,La patrulla infernal,8.370682964319506,1957,"Stanley Kubrick (dir.), Kirk Douglas, Ralph Meeker"
62,El resplandor,8.367857639726845,1980,"Stanley Kubrick (dir.), Jack Nicholson, Shelley Duvall"
63,El gran dictador,8.366269513116817,1940,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard"
64,Testigo de cargo,8.356633136333596,1957,"Billy Wilder (dir.), Tyrone Power, Marlene Dietrich"
65,Avengers: Infinity War,8.355612625997761,2018,"Anthony Russo (dir.), Robert Downey Jr., Chris Hemsworth"
66,"Alien 2, el regreso",8.34473908766429,1986,"James Cameron (dir.), Sigourney Weaver, Michael Biehn"
67,Belleza americana,8.337976732132102,1999,"Sam Mendes (dir.), Kevin Spacey, Annette Bening"
68,Dr Insólito o Cómo aprendí a no preocuparme y amar la bomba,8.333746645447585,1964,"Stanley Kubrick (dir.), Peter Sellers, George C. Scott"
69,Batman: El caballero de la noche asciende,8.328687642656115,2012,"Christopher Nolan (dir.), Christian Bale, Tom Hardy"
70,Spider-Man: Un nuevo universo,8.328475901550819,2018,"Bob Persichetti (dir.), Shameik Moore, Jake Johnson"
71,Guasón,8.319880426849338,2019,"Todd Phillips (dir.), Joaquin Phoenix, Robert De Niro"
72,Oldboy: Cinco días para vengarse,8.319844202895073,2003,"Park Chan-wook (dir.), Choi Min-sik, Yoo Ji-Tae"
73,Corazón valiente,8.315510620116509,1995,"Mel Gibson (dir.), Mel Gibson, Sophie Marceau"
74,Amadeus,8.315360740859147,1984,"Milos Forman (dir.), F. Murray Abraham, Tom Hulce"
75,Toy Story,8.314549770147822,1995,"John Lasseter (dir.), Tom Hanks, Tim Allen"
76,Coco,8.312232192255868,2017,"Lee Unkrich (dir.), Anthony Gonzalez, Gael García Bernal"
77,El submarino,8.311825581062303,1981,"Wolfgang Petersen (dir.), Jürgen Prochnow, Herbert Grönemeyer"
78,Bastardos sin gloria,8.310861403936983,2009,"Quentin Tarantino (dir.), Brad Pitt, Diane Kruger"
79,La princesa Mononoke,8.303746268788604,1997,"Hayao Miyazaki (dir.), Yôji Matsuda, Yuriko Ishida"
80,Avengers: Endgame,8.301028493004502,2019,"Anthony Russo (dir.), Robert Downey Jr., Chris Evans"
81,Érase una vez en América,8.300741374251107,1984,"Sergio Leone (dir.), Robert De Niro, James Woods"
82,Mente indomable,8.286573091701229,1997,"Gus Van Sant (dir.), Robin Williams, Matt Damon"
83,Réquiem por un sueño,8.276882658190212,2000,"Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto"
84,Toy Story 3,8.276586894057239,2010,"Lee Unkrich (dir.), Tom Hanks, Tim Allen"
85,Your Name,8.274337604874429,2016,"Makoto Shinkai (dir.), Ryûnosuke Kamiki, Mone Kamishiraishi"
86,Cantando bajo la lluvia,8.273769675089099,1952,"Stanley Donen (dir.), Gene Kelly, Donald O'Connor"
87,3 Idiots,8.268811251887138,2009,"Rajkumar Hirani (dir.), Aamir Khan, Madhavan"
88,El regreso del Jedi,8.268122119120042,1983,"Richard Marquand (dir.), Mark Hamill, Harrison Ford"
89,2001: odisea del espacio,8.265429550461173,1968,"Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood"
90,Eterno resplandor de una mente sin recuerdos,8.264683724016535,2004,"Michel Gondry (dir.), Jim Carrey, Kate Winslet"
91,Perros de reserva,8.26461894859688,1992,"Quentin Tarantino (dir.), Harvey Keitel, Tim Roth"
92,Cielo e infierno,8.263152847382464,1963,"Akira Kurosawa (dir.), Toshirô Mifune, Yutaka Sada"
93,Cafarnaúm: la ciudad olvidada,8.258826445173353,2018,"Nadine Labaki (dir.), Zain Al Rafeea, Yordanos Shiferaw"
94,El ciudadano Kane,8.257941940280629,1941,"Orson Welles (dir.), Orson Welles, Joseph Cotten"
95,Lawrence de Arabia,8.256474352776577,1962,"David Lean (dir.), Peter O'Toole, Alec Guinness"
96,Jagten,8.25498424252769,2012,"Thomas Vinterberg (dir.), Mads Mikkelsen, Thomas Bo Larsen"
97,Intriga internacional,8.253828872651507,1959,"Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint"
98,M el maldito,8.253808190175436,1931,"Fritz Lang (dir.), Peter Lorre, Ellen Widmann"
99,De entre los muertos,8.248052527572556,1958,"Alfred Hitchcock (dir.), James Stewart, Kim Novak"
10, Amelie,8.246310628014601,2001,"Jean-Pierre Jeunet (dir.), Audrey Tautou, Mathieu Kassovitz"
101,Naranja mecánica,8.24475572393147,1971,"Stanley Kubrick (dir.), Malcolm McDowell, Patrick Magee"
102,Ven y mira,8.243451246410757,1985,"Elem Klimov (dir.), Aleksey Kravchenko, Olga Mironova"
103,Cara de guerra,8.240211758830648,1987,"Stanley Kubrick (dir.), Matthew Modine, R. Lee Ermey"
104,Pacto de sangre,8.2380280133956,1944,"Billy Wilder (dir.), Fred MacMurray, Barbara Stanwyck"
105,Piso de soltero,8.237069109484326,1960,"Billy Wilder (dir.), Jack Lemmon, Shirley MacLaine"
106,Caracortada,8.235129777466547,1983,"Brian De Palma (dir.), Al Pacino, Michelle Pfeiffer"
107,Ikiru - Vivir,8.230444084948413,1952,"Akira Kurosawa (dir.), Takashi Shimura, Nobuo Kaneko"
108,El golpe,8.229092474064657,1973,"George Roy Hill (dir.), Paul Newman, Robert Redford"
109,Matar a un ruiseñor,8.228953394113873,1962,"Robert Mulligan (dir.), Gregory Peck, John Megna"
110,Taxi Driver,8.228104433361258,1976,"Martin Scorsese (dir.), Robert De Niro, Jodie Foster"
111,Los Ángeles al desnudo,8.224952045907294,1997,"Curtis Hanson (dir.), Kevin Spacey, Russell Crowe"
112,"Up, una aventura de altura",8.2243434433292,2009,"Pete Docter (dir.), Edward Asner, Jordan Nagai"
113,Fuego contra fuego,8.223246231652546,1995,"Michael Mann (dir.), Al Pacino, Robert De Niro"
114,Hamilton,8.221633480579891,2020,"Thomas Kail (dir.), Lin-Manuel Miranda, Phillipa Soo"
115,Metrópolis,8.220959581236576,1927,"Fritz Lang (dir.), Brigitte Helm, Alfred Abel"
116,Una separación,8.220512427101712,2011,"Asghar Farhadi (dir.), Payman Maadi, Leila Hatami"
117,Snatch: Cerdos y diamantes,8.220511343187578,2000,"Guy Ritchie (dir.), Jason Statham, Brad Pitt"
118,Duro de matar,8.220305403449158,1988,"John McTiernan (dir.), Bruce Willis, Alan Rickman"
119,La mujer que cantaba,8.21954813705654,2010,"Denis Villeneuve (dir.), Lubna Azabal, Mélissa Désormeaux-Poulin"
120,Indiana Jones y la última cruzada,8.21842294956258,1989,"Steven Spielberg (dir.), Harrison Ford, Sean Connery"
121,Ladrones de bicicletas,8.21761141528804,1948,"Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola"
122,Spider-Man: sin camino a casa,8.214615173596085,2021,"Jon Watts (dir.), Tom Holland, Zendaya"
123,1917,8.212242411084892,2019,"Sam Mendes (dir.), Dean-Charles Chapman, George MacKay"
124,Like stars on Earth,8.206061470436307,2007,"Aamir Khan (dir.), Darsheel Safary, Aamir Khan"
125,La caída,8.204620658942291,2004,"Oliver Hirschbiegel (dir.), Bruno Ganz, Alexandra Maria Lara"
126,Por unos dólares más,8.203427602459724,1965,"Sergio Leone (dir.), Clint Eastwood, Lee Van Cleef"
127,Batman inicia,8.202249637092656,2005,"Christopher Nolan (dir.), Christian Bale, Michael Caine"
128,Dangal,8.197584577559343,2016,"Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar"
129,El chiquillo,8.194487924888133,1921,"Charles Chaplin (dir.), Charles Chaplin, Edna Purviance"
130,Una Eva y dos Adanes,8.191497969338354,1959,"Billy Wilder (dir.), Marilyn Monroe, Tony Curtis"
131,Everything Everywhere All at Once,8.185652733224808,2022,"Dan Kwan (dir.), Michelle Yeoh, Stephanie Hsu"
132,El Padre,8.182687009848069,2020,"Florian Zeller (dir.), Anthony Hopkins, Olivia Colman"
133,La malvada,8.1800185393401,1950,"Joseph L. Mankiewicz (dir.), Bette Davis, Anne Baxter"
134,Green Book: Una amistad sin fronteras,8.174367829945034,2018,"Peter Farrelly (dir.), Viggo Mortensen, Mahershala Ali"
135,El lobo de Wall Street,8.171411918986076,2013,"Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill"
136,Juicio en Nuremberg,8.16866740311212,1961,"Stanley Kramer (dir.), Spencer Tracy, Burt Lancaster"
137,Los imperdonables,8.164674673962772,1992,"Clint Eastwood (dir.), Clint Eastwood, Gene Hackman"
138,Casino,8.163788926750078,1995,"Martin Scorsese (dir.), Robert De Niro, Sharon Stone"
139,Ran,8.163691296297785,1985,"Akira Kurosawa (dir.), Tatsuya Nakadai, Akira Terao"
140,El laberinto del fauno,8.16345206221849,2006,"Guillermo del Toro (dir.), Ivana Baquero, Ariadna Gil"
141,Petróleo sangriento,8.154832002885206,2007,"Paul Thomas Anderson (dir.), Daniel Day-Lewis, Paul Dano"
142,El sexto sentido,8.153753147917632,1999,"M. Night Shyamalan (dir.), Bruce Willis, Haley Joel Osment"
143,Una mente brillante,8.153188598886105,2001,"Ron Howard (dir.), Russell Crowe, Ed Harris"
144,Monty Python and the Holy Grail,8.15281667644901,1975,"Terry Gilliam (dir.), Graham Chapman, John Cleese"
145,The Truman Show: Historia de una vida,8.151691288594884,1998,"Peter Weir (dir.), Jim Carrey, Ed Harris"
146,Yojimbo,8.148948073747746,1961,"Akira Kurosawa (dir.), Toshirô Mifune, Eijirô Tôno"
147,El tesoro de la Sierra Madre,8.14799074142962,1948,"John Huston (dir.), Humphrey Bogart, Walter Huston"
148,La isla siniestra,8.142820576516101,2010,"Martin Scorsese (dir.), Leonardo DiCaprio, Emily Mortimer"
149,Rashomon,8.14274405178632,1950,"Akira Kurosawa (dir.), Toshirô Mifune, Machiko Kyô"
150,El gran escape,8.142371304414947,1963,"John Sturges (dir.), Steve McQueen, James Garner"
151,Parque jurásico,8.140686354197847,1993,"Steven Spielberg (dir.), Sam Neill, Laura Dern"
152,Kill Bill Vol 1,8.137355048752335,2003,"Quentin Tarantino (dir.), Uma Thurman, David Carradine"
153,Sin lugar para los débiles,8.135459680854188,2007,"Ethan Coen (dir.), Tommy Lee Jones, Javier Bardem"
154,Buscando a Nemo,8.131261804816415,2003,"Andrew Stanton (dir.), Albert Brooks, Ellen DeGeneres"
155,El hombre elefante,8.130981637216548,1980,"David Lynch (dir.), Anthony Hopkins, John Hurt"
156,El toro salvaje,8.12988079828268,1980,"Martin Scorsese (dir.), Robert De Niro, Cathy Moriarty"
157,Barrio Chino,8.129343125577979,1974,"Roman Polanski (dir.), Jack Nicholson, Faye Dunaway"
158,Lo que el viento se llevó,8.126997640017416,1939,"Victor Fleming (dir.), Clark Gable, Vivien Leigh"
159,V de Venganza,8.126070992981106,2005,"James McTeigue (dir.), Hugo Weaving, Natalie Portman"
160,La cosa del otro mundo,8.124614870368239,1982,"John Carpenter (dir.), Kurt Russell, Wilford Brimley"
161,Intensa Mente,8.124590720278526,2015,"Pete Docter (dir.), Amy Poehler, Bill Hader"
162,"Juegos, trampas y dos armas humeantes",8.123538957469192,1998,"Guy Ritchie (dir.), Jason Flemyng, Dexter Fletcher"
163,Con M de Muerte,8.11914617310834,1954,"Alfred Hitchcock (dir.), Ray Milland, Grace Kelly"
164,El secreto de sus ojos,8.117854910368301,2009,"Juan José Campanella (dir.), Ricardo Darín, Soledad Villamil"
165,El puente sobre el río Kwai,8.114485622193907,1957,"David Lean (dir.), William Holden, Alec Guinness"
166,El increíble castillo vagabundo,8.11440839762964,2004,"Hayao Miyazaki (dir.), Chieko Baishô, Takuya Kimura"
167,Tres anuncios por un crimen,8.111691636009109,2017,"Martin McDonagh (dir.), Frances McDormand, Woody Harrelson"
168,La vida en el abismo,8.111619185796515,1996,"Danny Boyle (dir.), Ewan McGregor, Ewen Bremner"
169,Gran Torino,8.105324626138351,2008,"Clint Eastwood (dir.), Clint Eastwood, Bee Vang"
170,La última pelea,8.105027001142728,2011,"Gavin O'Connor (dir.), Tom Hardy, Nick Nolte"
171,"Fargo, secuestro voluntario",8.103414062371906,1996,"Joel Coen (dir.), William H. Macy, Frances McDormand"
172,Mi vecino Totoro,8.095417447752949,1988,"Hayao Miyazaki (dir.), Hitoshi Takagi, Noriko Hidaka"
173,Intriga,8.095015190337145,2013,"Denis Villeneuve (dir.), Hugh Jackman, Jake Gyllenhaal"
174,Golpes del destino,8.090033462983774,2004,"Clint Eastwood (dir.), Hilary Swank, Clint Eastwood"
175,La quimera del oro,8.08787039710182,1925,"Charles Chaplin (dir.), Charles Chaplin, Mack Swain"
176,Blade Runner,8.087085122034338,1982,"Ridley Scott (dir.), Harrison Ford, Rutger Hauer"
177,Atrápame si puedes,8.086147974506995,2002,"Steven Spielberg (dir.), Leonardo DiCaprio, Tom Hanks"
178,Nido de ratas,8.084474144200184,1954,"Elia Kazan (dir.), Marlon Brando, Karl Malden"
179,El tercer hombre,8.082556397298076,1949,"Carol Reed (dir.), Orson Welles, Joseph Cotten"
180,Los niños del cielo,8.080684622364174,1997,"Majid Majidi (dir.), Mohammad Amir Naji, Amir Farrokh Hashemian"
181,Ben-Hur,8.078836999185754,1959,"William Wyler (dir.), Charlton Heston, Jack Hawkins"
182,12 años esclavo,8.078101293962478,2013,"Steve McQueen (dir.), Chiwetel Ejiofor, Michael Kenneth Williams"
183,El general,8.077617833198106,1926,"Clyde Bruckman (dir.), Buster Keaton, Marion Mack"
184,Perdida,8.077322780157877,2014,"David Fincher (dir.), Ben Affleck, Rosamund Pike"
185,Las fresas silvestres,8.077281783593197,1957,"Ingmar Bergman (dir.), Victor Sjöström, Bibi Andersson"
186,Antes del amanecer,8.076590492158328,1995,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy"
187,El francotirador,8.075898840940738,1978,"Michael Cimino (dir.), Robert De Niro, Christopher Walken"
188,Harry Potter y las reliquias de la muerte 2,8.07577974386792,2011,"David Yates (dir.), Daniel Radcliffe, Emma Watson"
189,En el nombre del padre,8.074332417398907,1993,"Jim Sheridan (dir.), Daniel Day-Lewis, Pete Postlethwaite"
190,El gran hotel Budapest,8.07243986241402,2014,"Wes Anderson (dir.), Ralph Fiennes, F. Murray Abraham"
191,Caballero sin espada,8.071265231622526,1939,"Frank Capra (dir.), James Stewart, Jean Arthur"
192,El salario del miedo,8.070092350367336,1953,"Henri-Georges Clouzot (dir.), Yves Montand, Charles Vanel"
193,Barry Lyndon,8.069469600485789,1975,"Stanley Kubrick (dir.), Ryan O'Neal, Marisa Berenson"
194,Sherlock Jr,8.069001096278086,1924,"Buster Keaton (dir.), Buster Keaton, Kathryn McGuire"
195,Salinui chueok,8.06830536720388,2003,"Bong Joon Ho (dir.), Song Kang-ho, Kim Sang-kyung"
196,Room,8.067501270486202,2015,"Lenny Abrahamson (dir.), Brie Larson, Jacob Tremblay"
197,Hasta el último hombre,8.067127677766127,2016,"Mel Gibson (dir.), Andrew Garfield, Sam Worthington"
198,Klaus,8.066802565589006,2019,"Sergio Pablos (dir.), Jason Schwartzman, J.K. Simmons"
199,El séptimo sello,8.066304625601356,1957,"Ingmar Bergman (dir.), Max von Sydow, Gunnar Björnstrand"
200,Relatos salvajes,8.064847202521436,2014,"Damián Szifron (dir.), Darío Grandinetti, María Marull"
201,Identidad peligrosa,8.06284115346656,1998,"Joel Coen (dir.), Jeff Bridges, John Goodman"
202,Cómo entrenar a tu dragón,8.061961077289988,2010,"Dean DeBlois (dir.), Jay Baruchel, Gerard Butler"
203,Mad Max: Furia en el camino,8.061781534064652,2015,"George Miller (dir.), Tom Hardy, Charlize Theron"
204,Mary and Max,8.060299532306525,2009,"Adam Elliot (dir.), Toni Collette, Philip Seymour Hoffman"
205,"Monsters, Inc",8.058533631819088,2001,"Pete Docter (dir.), Billy Crystal, John Goodman"
206,Tiburón,8.057872530990355,1975,"Steven Spielberg (dir.), Roy Scheider, Robert Shaw"
207,La passion de Jeanne d'Arc,8.055571561763402,1928,"Carl Theodor Dreyer (dir.), Maria Falconetti, Eugene Silvain"
208,Hotel Ruanda,8.052927485191807,2004,"Terry George (dir.), Don Cheadle, Sophie Okonedo"
209,La sociedad de los poetas muertos,8.05227000378988,1989,"Peter Weir (dir.), Robin Williams, Robert Sean Leonard"
210,Tôkyô monogatari,8.051896125583417,1953,"Yasujirô Ozu (dir.), Chishû Ryû, Chieko Higashiyama"
211,Pather Panchali,8.051787634300975,1955,"Satyajit Ray (dir.), Kanu Bannerjee, Karuna Bannerjee"
212,Pelotón,8.047373646973083,1986,"Oliver Stone (dir.), Charlie Sheen, Tom Berenger"
213,Rocky,8.047361244470853,1976,"John G. Avildsen (dir.), Sylvester Stallone, Talia Shire"
214,Contra lo imposible,8.045759207702433,2019,"James Mangold (dir.), Matt Damon, Christian Bale"
215,Cuenta conmigo,8.042262190343012,1986,"Rob Reiner (dir.), Wil Wheaton, River Phoenix"
216,Terminator,8.041451469036703,1984,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton"
217,En primera plana,8.039344238084198,2015,"Tom McCarthy (dir.), Mark Ruffalo, Michael Keaton"
218,Rush: Pasión y gloria,8.039305520613672,2013,"Ron Howard (dir.), Daniel Brühl, Chris Hemsworth"
219,Camino salvaje,8.037524477015573,2007,"Sean Penn (dir.), Emile Hirsch, Vince Vaughn"
220,Poder que mata,8.037162223864804,1976,"Sidney Lumet (dir.), Faye Dunaway, William Holden"
221,El mago de Oz,8.036052793139419,1939,"Victor Fleming (dir.), Judy Garland, Frank Morgan"
222,Logan: Wolverine,8.035477363916044,2017,"James Mangold (dir.), Hugh Jackman, Patrick Stewart"
223,Hechizo del tiempo,8.032555336106979,1993,"Harold Ramis (dir.), Bill Murray, Andie MacDowell"
224,Ratatouille,8.031918904514672,2007,"Brad Bird (dir.), Brad Garrett, Lou Romano"
225,El exorcista,8.02843272190624,1973,"William Friedkin (dir.), Ellen Burstyn, Max von Sydow"
226,Antes del atardecer,8.028263462618437,2004,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy"
227,Lo mejor de nuestra vida,8.026204775419203,1946,"William Wyler (dir.), Myrna Loy, Dana Andrews"
228,Los increíbles,8.02559338532365,2004,"Brad Bird (dir.), Craig T. Nelson, Samuel L. Jackson"
229,Ser o no ser,8.024713362742101,1942,"Ernst Lubitsch (dir.), Carole Lombard, Jack Benny"
230,"Rebeca, una mujer inolvidable",8.02268468006232,1940,"Alfred Hitchcock (dir.), Laurence Olivier, Joan Fontaine"
231,Viacrucis,8.022605251542185,1940,"John Ford (dir.), Henry Fonda, Jane Darwell"
232,La batalla de Argel,8.022338713029933,1966,"Gillo Pontecorvo (dir.), Brahim Hadjadj, Jean Martin"
233,Siempre a tu lado,8.021734370877235,2009,"Lasse Hallström (dir.), Richard Gere, Joan Allen"
234,La leyenda del indomable,8.021430293401137,1967,"Stuart Rosenberg (dir.), Paul Newman, George Kennedy"
235,Amores perros,8.020938646297884,2000,"Alejandro G. Iñárritu (dir.), Emilio Echevarría, Gael García Bernal"
236,Piratas del Caribe - La maldición del Perla Negra,8.018846819531362,2003,"Gore Verbinski (dir.), Johnny Depp, Geoffrey Rush"
237,Los 400 golpes,8.016272297649492,1959,"François Truffaut (dir.), Jean-Pierre Léaud, Albert Rémy"
238,La haine,8.016082527879185,1995,"Mathieu Kassovitz (dir.), Vincent Cassel, Hubert Koundé"
239,El pecado compartido,8.01577913120053,1966,"Ingmar Bergman (dir.), Bibi Andersson, Liv Ullmann"
240,Dersu Uzala,8.015055766873381,1975,"Akira Kurosawa (dir.), Maksim Munzuk, Yuriy Solomin"
241,La vida de Brian,8.014858382190997,1979,"Terry Jones (dir.), Graham Chapman, John Cleese"
242,Babam ve Oglum,8.014451080382276,2005,"Cagan Irmak (dir.), Çetin Tekindor, Fikret Kuskan"
243,Sucedió una noche,8.013627055906184,1934,"Frank Capra (dir.), Clark Gable, Claudette Colbert"
244,La novicia rebelde,8.0134972524546,1965,"Robert Wise (dir.), Julie Andrews, Christopher Plummer"
245,The Handmaiden,8.009190287607845,2016,"Park Chan-wook (dir.), Kim Min-hee, Ha Jung-woo"
246,Aladdín,8.007062596024202,1992,"Ron Clements (dir.), Scott Weinger, Robin Williams"
247,Gandhi,8.006651878811969,1982,"Richard Attenborough (dir.), Ben Kingsley, John Gielgud"
248,Jai Bhim,8.005676276258034,2021,"T.J. Gnanavel (dir.), Suriya, Lijo Mol Jose"
249,Historias cruzadas,8.004708860511995,2011,"Tate Taylor (dir.), Emma Stone, Viola Davis"
250,La bella y la bestia,8.003082958929305,1991,"Gary Trousdale (dir.), Paige O'Hara, Robby Benson"
